689607a406bb3295567610f3|170339|260|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610f4|170339|268|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610f5|170339|280|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610f6|170339|284|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610f7|170339|286|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610f8|170339|312|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610f9|170339|318|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610fa|170339|321|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610fb|170339|345|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610fc|170339|348|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610fd|170339|354|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610fe|170339|381|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb3295567610ff|170339|384|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761100|170339|389|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761101|170339|398|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761102|170339|406|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761103|170339|409|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761104|170339|428|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761105|170339|435|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761106|170339|438|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761107|170339|453|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761108|170339|456|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761109|170339|457|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676110a|170339|460|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676110b|170339|465|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676110c|170339|475|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676110d|170339|482|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676110e|170339|483|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676110f|170339|490|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761110|170339|501|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761111|170339|509|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761112|170339|510|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761113|170339|512|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761114|170339|517|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761115|170339|519|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761116|170339|521|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761117|170339|534|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761118|170339|543|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761119|170339|546|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676111a|170339|547|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676111b|170339|564|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
