68dbf6a4b8a2ee918983bf58|170339|689|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:28
68dbf6a4b8a2ee918983bf59|170339|组选689|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:28
68dbf6a9b8a2ee918983bf5b|170339|102|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:33
68dbf6a9b8a2ee918983bf5c|170339|103|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:33
68dbf6a9b8a2ee918983bf5d|170339|组选012|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:33
68dbf6a9b8a2ee918983bf5e|170339|组选013|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:33
68dbf6b5b8a2ee918983bf60|170344|823|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:44
68dbf6b5b8a2ee918983bf61|170344|715|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:44
68dbf6b5b8a2ee918983bf62|170344|233|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:44
68dbf6b5b8a2ee918983bf63|170344|组选238|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:44
68dbf6b5b8a2ee918983bf64|170344|组选157|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:44
68dbf6b5b8a2ee918983bf65|170344|组选233|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:44
68dbf6b6b8a2ee918983bf67|170344|组六23689|10.0|{"SS0001":10.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:46
68dbf6b9b8a2ee918983bf69|170344|819|8.0|{"SS0001":8.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:49
68dbf6b9b8a2ee918983bf6a|170344|组选189|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:49
68dbf6bbb8a2ee918983bf6c|170344|442|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:51
68dbf6bbb8a2ee918983bf6d|170344|244|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:51
68dbf6bbb8a2ee918983bf6e|170344|424|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:51
68dbf6bbb8a2ee918983bf6f|170344|443|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:51
68dbf6bbb8a2ee918983bf70|170344|344|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:51
68dbf6bbb8a2ee918983bf71|170344|434|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:51
68dbf6bbb8a2ee918983bf72|170344|447|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:51
68dbf6bbb8a2ee918983bf73|170344|744|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:51
68dbf6bbb8a2ee918983bf74|170344|474|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:51
68dbf6bbb8a2ee918983bf75|170344|组选244|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:51
68dbf6bbb8a2ee918983bf76|170344|组选244|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:51
68dbf6bbb8a2ee918983bf77|170344|组选244|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:51
68dbf6bbb8a2ee918983bf78|170344|组选344|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:51
68dbf6bbb8a2ee918983bf79|170344|组选344|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:51
68dbf6bbb8a2ee918983bf7a|170344|组选344|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:51
68dbf6bbb8a2ee918983bf7b|170344|组选447|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:51
68dbf6bbb8a2ee918983bf7c|170344|组选447|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:51
68dbf6bbb8a2ee918983bf7d|170344|组选447|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:51
68dbf6bdb8a2ee918983bf7f|170344|442|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:53
68dbf6bdb8a2ee918983bf80|170344|244|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:53
68dbf6bdb8a2ee918983bf81|170344|424|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:53
68dbf6bdb8a2ee918983bf82|170344|449|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:53
68dbf6bdb8a2ee918983bf83|170344|944|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:53
68dbf6bdb8a2ee918983bf84|170344|494|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:53
68dbf6bdb8a2ee918983bf85|170344|组选244|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:53
68dbf6bdb8a2ee918983bf86|170344|组选244|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:53
68dbf6bdb8a2ee918983bf87|170344|组选244|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:53
68dbf6bdb8a2ee918983bf88|170344|组选449|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:53
68dbf6bdb8a2ee918983bf89|170344|组选449|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:53
68dbf6bdb8a2ee918983bf8a|170344|组选449|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:53
68dbf6c0b8a2ee918983bf8c|170344|875|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:55
68dbf6c0b8a2ee918983bf8d|170344|873|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:55
68dbf6c0b8a2ee918983bf8e|170344|871|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:55
68dbf6c0b8a2ee918983bf8f|170344|825|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:55
68dbf6c0b8a2ee918983bf90|170344|823|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:55
68dbf6c0b8a2ee918983bf91|170344|821|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:55
68dbf6c0b8a2ee918983bf92|170344|805|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:55
68dbf6c0b8a2ee918983bf93|170344|803|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:55
68dbf6c0b8a2ee918983bf94|170344|801|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:55
68dbf6c0b8a2ee918983bf95|170344|475|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:55
68dbf6c0b8a2ee918983bf96|170344|473|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:55
68dbf6c0b8a2ee918983bf97|170344|471|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:55
68dbf6c0b8a2ee918983bf98|170344|425|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:55
68dbf6c0b8a2ee918983bf99|170344|426|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:26:55
