68cacec32486dfb21a55c397|170344|619|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec32486dfb21a55c398|170344|509|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec32486dfb21a55c399|170344|950|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec32486dfb21a55c39a|170344|095|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec32486dfb21a55c39b|170344|516|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec32486dfb21a55c39c|170344|615|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec32486dfb21a55c39d|170344|519|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec32486dfb21a55c39e|170344|915|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec32486dfb21a55c39f|170344|195|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec32486dfb21a55c3a0|170344|组选049|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec32486dfb21a55c3a1|170344|组选049|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec32486dfb21a55c3a2|170344|组选049|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec32486dfb21a55c3a3|170344|组选169|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec32486dfb21a55c3a4|170344|组选169|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec32486dfb21a55c3a5|170344|组选169|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec32486dfb21a55c3a6|170344|组选059|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec32486dfb21a55c3a7|170344|组选059|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec32486dfb21a55c3a8|170344|组选059|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec32486dfb21a55c3a9|170344|组选156|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec32486dfb21a55c3aa|170344|组选156|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec32486dfb21a55c3ab|170344|组选159|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec32486dfb21a55c3ac|170344|组选159|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec32486dfb21a55c3ad|170344|组选159|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:46
68cacec62486dfb21a55c3af|170344|独胆7|1000.0|{"SS0001":1000.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:50
68cacec82486dfb21a55c3b1|170344|824|10.0|{"SS0001":10.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:51
68cacec82486dfb21a55c3b2|170344|组选248|10.0|{"SS0001":10.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:51
68cacec92486dfb21a55c3b4|170344|326|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:53
68cacec92486dfb21a55c3b5|170344|198|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:53
68cacec92486dfb21a55c3b6|170344|799|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:53
68cacec92486dfb21a55c3b7|170344|592|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:53
68cacec92486dfb21a55c3b8|170344|139|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:53
68cacec92486dfb21a55c3b9|170344|136|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:53
68cacec92486dfb21a55c3ba|170344|组选236|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:53
68cacec92486dfb21a55c3bb|170344|组选189|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:53
68cacec92486dfb21a55c3bc|170344|组选799|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:53
68cacec92486dfb21a55c3bd|170344|组选259|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:53
68cacec92486dfb21a55c3be|170344|组选139|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:53
68cacec92486dfb21a55c3bf|170344|组选136|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:53
68cacecb2486dfb21a55c3c1|170344|863|8.0|{"SS0001":8.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:55
68cacecb2486dfb21a55c3c2|170344|245|8.0|{"SS0001":8.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:55
68cacecb2486dfb21a55c3c3|170344|组选368|8.0|{"SS0001":8.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:55
68cacecb2486dfb21a55c3c4|170344|组选245|8.0|{"SS0001":8.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:07:55
68caced02486dfb21a55c3c6|170344|组六0359|30.0|{"SS0001":30.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:00
68caced02486dfb21a55c3c7|170344|组三0359|10.0|{"SS0001":10.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:00
68caced22486dfb21a55c3c9|170344|047|6.0|{"SS0001":6.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:02
68caced22486dfb21a55c3ca|170344|740|6.0|{"SS0001":6.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:02
68caced22486dfb21a55c3cb|170344|组选047|6.0|{"SS0001":6.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:02
68caced22486dfb21a55c3cc|170344|组选047|6.0|{"SS0001":6.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:02
68caced42486dfb21a55c3ce|170344|420|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:03
68caced42486dfb21a55c3cf|170344|421|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:03
68caced42486dfb21a55c3d0|170344|422|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:03
68caced42486dfb21a55c3d1|170344|423|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:03
68caced42486dfb21a55c3d2|170344|424|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:03
68caced42486dfb21a55c3d3|170344|425|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:03
68caced42486dfb21a55c3d4|170344|426|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:03
68caced42486dfb21a55c3d5|170344|427|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:03
68caced42486dfb21a55c3d6|170344|428|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:03
68caced42486dfb21a55c3d7|170344|429|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:03
68caced42486dfb21a55c3d8|170344|组选024|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:03
